;@xsi:type;uid[1];codeType[1];libelle[1];libelleEdition[1];libelleAbrege[1];libelleAbrev[1];viMoDe[1];viMoDe[1]/dateDebut[1];viMoDe[1]/dateAgrement[1];viMoDe[1]/dateFin[1];regimeJuridique[1];regime[1];legislature[1];secretariat[1];secretariat[1]/secretaire01[1];secretariat[1]/secretaire02[1];positionPolitique[1]
;GroupePolitique_type;PO656002;GP;Socialiste, républicain et citoyen;du groupe socialiste, républicain et citoyen;SRC;SRC;;2012-06-26;;2016-05-24;;5ème République;14;;;;Majoritaire
;GroupePolitique_type;PO656006;GP;Union pour un Mouvement Populaire;du groupe de l'Union pour un Mouvement Populaire;UMP;UMP;;2012-06-26;;2015-06-01;;5ème République;14;;;;Opposition
;GroupePolitique_type;PO656010;GP;Union des démocrates et indépendants;du groupe Union des démocrates et indépendants;UDI;UDI;;2012-06-26;;2017-06-20;;5ème République;14;;;;Opposition
;GroupePolitique_type;PO656018;GP;Gauche démocrate et républicaine;du groupe de la Gauche démocrate et républicaine;GDR;GDR;;2012-06-26;;2017-06-20;;5ème République;14;;;;Minoritaire
;OrganeParlementaire_Type;PO665158;DELEGBUREAU;Délégation chargée des activités internationales;de la délégation chargée des activités internationales;Activités internationales;INT;;2012-06-20;;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO665150;DELEGBUREAU;Délégation chargée de la communication et de la presse;de la délégation chargée de la communication et de la presse;Communication et presse;COM;;2012-06-20;;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO665162;DELEGBUREAU;Délégation chargée des représentants d'intérêt et des groupes d'études;de la délégation chargée des représentants d'intérêt et des groupes d'études;Représentants d'intérêt et GE;REP;;2012-06-20;;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO665166;DELEGBUREAU;Délégation chargée de la recevabilité des propositions de loi;de la délégation chargée de la recevabilité des propositions de loi;Recevabilité;REC;;2012-06-20;;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO665170;DELEGBUREAU;Délégation chargée du patrimoine artistique et culturel de l'Assemblée nationale;de la délégation chargée du patrimoine artistique et culturel de l'Assemblée nationale;Patrimoine;PAT;;2012-06-20;;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO665154;DELEGBUREAU;Délégation chargée de l'application du statut du député;de la délégation chargée de l'application du statut du député;Statut du député;STA;;2012-06-20;;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675691;GA;France-Pérou;de France-Pérou;Pérou;PER;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675689;GA;France-Costa Rica;de France-Costa Rica;Costa Rica;COST;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675692;GA;France-Tanzanie;de France-Tanzanie;Tanzanie;TANZ;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675693;GA;France-Congo;de France-Congo;Congo (République du);CONG;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675659;DELEG;Délégation aux outre-mer;de la délégation aux outre-mer;Délégation aux outre-mer;OM;;2012-07-17;;;;5ème République;;;M. Pierre Jouin;;
;OrganeParlementaire_Type;PO675682;GA;France-Bahrein;de France-Bahrein;Bahrein;BAH;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675690;GA;France-Malaisie;de France-Malaisie;Malaisie;MAL;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675684;GA;France-Hongrie;de France-Hongrie;Hongrie;HONG;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675685;GEVI;Groupe d'études à vocation internationale sur les questions de la République démocratique de Corée (Corée du Nord );de France-Groupe d'études à vocation internationale sur les questions de la République démocratique de Corée (Corée du Nord );Corée du Nord;NK;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675686;GA;France-Egypte;de France-Egypte;Egypte;EGY;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675687;GA;France-Népal;de France-Népal;Népal;NEP;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675688;GEVI;Groupe d'études à vocation internationale sur la Libye;de Groupe d'études à vocation internationale sur la Libye;Libye;LIBY;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675683;GA;France-Somalie;de France-Somalie;Somalie;SOM;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675695;GA;France-Afghanistan;de France-Afghanistan;Afghanistan;AFG;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675694;GA;France-Botswana;de France-Botswana;Botswana;BOTS;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675696;GA;France-Colombie;de France-Colombie;Colombie;COL;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675697;GA;France-Djibouti;de France-Djibouti;Djibouti;DJI;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675699;GA;France-Ethiopie;de France-Ethiopie;Ethiopie;ETH;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675705;GA;France-Suriname;de France-Suriname;Suriname;SUR;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675701;GA;France-Seychelles;de France-Seychelles;Seychelles;SEY;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675702;GA;France-Philippines;de France-Philippines;Philippines;PHI;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675703;GA;France-Danemark;de France-Danemark;Danemark;DAN;;;2012-07-18;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO675704;GA;France-Italie;de France-Italie;Italie;IT;;;2012-07-18;2017-06-20;;5ème République;14;;;;
